"Job","Site","Classification","Asset ID","Description","Location ID","Location","Manufacturer","Model","Serial","AMP FRAME","ASSET UID BREAKER IS INSTALLED IN","BREAKER CONSTRUCTION","BREAKER MOUNT","BREAKER TYPE","GROUND FAULT DELAY (TG(S))","GROUND FAULT PICK UP (PU X IN) (IG)","GROUND FAULT (I2T)","INST (X IN) (II)","KA RATING","LONG TIME DELAY (LTD / TR(S))","LONG TIME PICK UP (LTPU X IN) (IR)","OPERATOR TYPE","SENSOR IN (PLUG RATING)","SHORT TIME (I2T)","SHORT TIME DELAY (TSD(S))","SHORT TIME PICK UP (PU X IR) (LSD)","TRIP MODEL","TRIP TYPE","VERIFIED AGAINST COORDINATION STUDY","VOLTAGE RATING"
"SY6 Breakers — Asset Capture","SY6","BREAKER","1055","SY6-BLK1-PR1-MSB-1-1_ACB-INCOMING MAINS","SY6-L1-14","SY6-L1-BLK1-PR-1-1","SCHNEIDER","NW16 H1","A2141210003","1600","","ACB - AIR CIRCUIT BREAKER","WITHDRAWABLE","INPUT","","","","","","","","Electrical","","","","","MicroLogic 5.0P (LSI)","","VALIDATED",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1056","SY6-BLK1-PR1-MSB-1-1_ACB-TRANSFER SWITCH MAIN SUPPLY","SY6-L1-14","SY6-L1-BLK1-PR-1-1","SCHNEIDER","NW16 H1","A2210310026","1600","","ACB - AIR CIRCUIT BREAKER","WITHDRAWABLE","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1057","SY6-BLK1-PR1-MSB-1-1_ACB-TRANSFER SWITCH GENERATOR SUPPLY","SY6-L1-14","SY6-L1-BLK1-PR-1-1","SCHNEIDER","NW32 HF","A2141230022-2","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1058","SY6-BLK1-PR1-MSB-1-1_ACB-N1-UPS 1-1 INTERNAL BYPASS","SY6-L1-14","SY6-L1-BLK1-PR-1-1","SCHNEIDER","NW32 H1","A2141230010","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1059","SY6-BLK1-PR1-MSB-1-1_ACB-N2-UPS 1-1 MAINS","SY6-L1-14","SY6-L1-BLK1-PR-1-1","SCHNEIDER","NW32 HF","A2141230022-1","3200","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1060","SY6-BLK1-PR1-MSB-1-1 ACB-N3-UPS 1-1 WRAP AROUND","SY6-L1-14","SY6-L1-BLK1-PR-1-1","SCHNEIDER","NW20 H1","A2141210002","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1068","SY6-BLK1-PR2-MSB-1-2_ACB-INCOMING MAINS","SY6-L1-15","SY6-L1-BLK1-PR-1-2","SCHNEIDER","NW16 H1","A2141230009","1600","","ACB - AIR CIRCUIT BREAKER","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1069","SY6-BLK1-PR2-MSB-1-2_ACB-TRANSFER SWITCH MAIN SUPPLY","SY6-L1-15","SY6-L1-BLK1-PR-1-2","SCHNEIDER","NW40 HA","A2173340023","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1070","SY6-BLK1-PR2-MSB-1-2_ACB-TRANSFER SWITCH GENERATOR SUPPLY","SY6-L1-15","SY6-L1-BLK1-PR-1-2","SCHNEIDER","NW32 HF","A2130930089","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1071","SY6-BLK1-PR2-MSB-1-2_ACB-N1-UPS 1-2 INTERNAL BYPASS","SY6-L1-15","SY6-L1-BLK1-PR-1-2","SCHNEIDER","NW32 H1","A2130930001","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1072","SY6-BLK1-PR2-MSB-1-2_ACB-N2-UPS 1-2 MAINS","SY6-L1-15","SY6-L1-BLK1-PR-1-2","SCHNEIDER","NW32 HF","A2130930088","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1073","SY6-BLK1-PR2-MSB-1-2 ACB-N3-UPS 1-2 WRAP AROUND","SY6-L1-15","SY6-L1-BLK1-PR-1-2","SCHNEIDER","NW20 H1","A2141230008","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1080","SY6-BLK1-PR3-MSB-1-3_ACB-INCOMING MAINS","SY6-L1-17","SY6-L1-BLK1-PR-1-3","SCHNEIDER","NW40 H1","NW32 H1","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1081","SY6-BLK1-PR3-MSB-1-3_ACB-TRANSFER SWITCH MAIN SUPPLY","SY6-L1-17","SY6-L1-BLK1-PR-1-3","SCHNEIDER","NW32 HF","A2141210004","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1082","SY6-BLK1-PR3-MSB-1-3_ACB-TRANSFER SWITCH GENERATOR SUPPLY","SY6-L1-17","SY6-L1-BLK1-PR-1-3","SCHNEIDER","NW20 H1","A2173440008","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1083","SY6-BLK1-PR3-MSB-1-3_ACB-N1-UPS 1-3 INTERNAL BYPASS","SY6-L1-17","SY6-L1-BLK1-PR-1-3","SCHNEIDER","NW25 H1","A2173340018","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1084","SY6-BLK1-PR3-MSB-1-3_ACB-N2-UPS 1-3 MAINS","SY6-L1-17","SY6-L1-BLK1-PR-1-3","SCHNEIDER","NW20 H1","A2173440007","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1085","SY6-BLK1-PR3-MSB-1-3 ACB-N3-UPS 1-3 WRAP AROUND","SY6-L1-17","SY6-L1-BLK1-PR-1-3","SCHNEIDER","NW40 H1","A2173340030-1","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1093","SY6-BLK1-PR4-MSB-1-4_ACB-INCOMING MAINS","SY6-L1-18","SY6-L1-BLK1-PR-1-4","SCHNEIDER","NW32 H1","A2141230010","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1094","SY6-BLK1-PR4-MSB-1-4_ACB-TRANSFER SWITCH MAIN SUPPLY","SY6-L1-18","SY6-L1-BLK1-PR-1-4","SCHNEIDER","NW32 HF","A2141230022-1","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1095","SY6-BLK1-PR4-MSB-1-4_ACB-TRANSFER SWITCH GENERATOR SUPPLY","SY6-L1-18","SY6-L1-BLK1-PR-1-4","SCHNEIDER","NW32 HF","A2141230022-2","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1096","SY6-BLK1-PR4-MSB-1-4_ACB-N1-UPS 1-4 INTERNAL BYPASS","SY6-L1-18","SY6-L1-BLK1-PR-1-4","SCHNEIDER","NW16 H1","A2210310026","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1097","SY6-BLK1-PR4-MSB-1-4_ACB-N2-UPS 1-4 MAINS","SY6-L1-18","SY6-L1-BLK1-PR-1-4","SCHNEIDER","NW20 H1","A2141230008","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1098","SY6-BLK1-PR4-MSB-1-4_ACB-N3-UPS 1-4 WRAP AROUND","SY6-L1-18","SY6-L1-BLK1-PR-1-4","SCHNEIDER","NW16 H1","A2141230009","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1105","SY6-BLK1-PRR-MSB-1-R_ACB-INCOMING MAINS","SY6-L1-16","SY6-L1-BLK1-PR-1-R","SCHNEIDER","NW32 H1","A2130930001","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1106","SY6-BLK1-PRR-MSB-1-R_ACB-TRANSFER SWITCH MAIN SUPPLY","SY6-L1-16","SY6-L1-BLK1-PR-1-R","SCHNEIDER","NW32 HF","A2130930088","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1107","SY6-BLK1-PRR-MSB-1-R_ACB-TRANSFER SWITCH GENERATOR SUPPLY","SY6-L1-16","SY6-L1-BLK1-PR-1-R","SCHNEIDER","NW32 HF","A2130930089","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1108","SY6-BLK1-PRR-MSB-1-R_ACB-N3","SY6-L1-16","SY6-L1-BLK1-PR-1-R","SCHNEIDER","","","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1114","SY6-BLK2-MSB-2-1_ACB-INCOMING MAINS","SY6-GF-24","SY6-GF-BLK2-SWITCHROOM 5","SCHNEIDER","NW40H1","A2173340023","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1115","SY6-BLK2-2-1_ACB-TRANSFER SWITCH MAIN SUPPLY","SY6-GF-24","SY6-GF-BLK2-SWITCHROOM 5","SCHNEIDER","NW40HA","A2173340030-2","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1116","SY6-BLK2-MSB-2-1_ACB-TRANSFER SWITCH GENERATOR SUPPLY","SY6-GF-24","SY6-GF-BLK2-SWITCHROOM 5","SCHNEIDER","NW40H1","A2173340030-1","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1117","SY6-BLK2-MSB-2-1_ACB-N1-UPS 2-1 INTERNAL BYPASS","SY6-GF-24","SY6-GF-BLK2-SWITCHROOM 5","SCHNEIDER","NW25H1","A2173340018","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1118","SY6-BLK2-MSB-2-1_ACB-N2-UPS 2-1 MAINS","SY6-GF-24","SY6-GF-BLK2-SWITCHROOM 5","SCHNEIDER","NW20H1","A2173440007","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1119","SY6-BLK2-MSB-2-1_ACB-N3-UPS 2-1 WRAP AROUND","SY6-GF-24","SY6-GF-BLK2-SWITCHROOM 5","SCHNEIDER","NW20H1","A2173440008","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1140","SY6-BLK2-MSB-2-3_ACB-INCOMING MAINS","SY6-GF-27","SY6-GF-BLK2-SWITCHROOM 7","SCHNEIDER","NW40H1","A2173430014","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1141","SY6-BLK2-MSB-2-3_ACB-TRANSFER SWITCH MAIN SUPPLY","SY6-GF-27","SY6-GF-BLK2-SWITCHROOM 7","SCHNEIDER","NW40HA","A2173340030-2","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1142","SY6-BLK2-MSB-2-3_ACB-TRANSFER SWITCH GENERATOR SUPPLY","SY6-GF-27","SY6-GF-BLK2-SWITCHROOM 7","SCHNEIDER","NW40H1","A2173430041-1","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1143","SY6-BLK2-MSB-2-3_ACB-N1-UPS 2-3 INTERNAL BYPASS","SY6-GF-27","SY6-GF-BLK2-SWITCHROOM 7","SCHNEIDER","NW25H1","A2173430009","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1144","SY6-BLK1-MSB-2-3_ACB-N2-UPS 2-3 MAINS","SY6-GF-27","SY6-GF-BLK2-SWITCHROOM 7","SCHNEIDER","NW16H1","A2141210001","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1145","SY6-BLK2-MSB-2-3_ACB-N3-UPS 2-3 WRAP AROUND","SY6-GF-27","SY6-GF-BLK2-SWITCHROOM 7","SCHNEIDER","","","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1325","SY6-BLK1-LVSB-1-1A_ACB-1 MAIN ISOLATOR","SY6-GF-05","SY6-GF-HALL-1","SCHNEIDER","NS1600NA","IEC 60947-2","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1326","SY6-BLK1-LVSB-1-1A_ACB-2 PDU BUSBAR ISOLATOR","SY6-GF-05","SY6-GF-HALL-1","SCHNEIDER","NS1600N","IEC 60947-2","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1331","SY6-BLK1-LVSB-1-1R_ACB-1 MAIN ISOLATOR","SY6-GF-05","SY6-GF-HALL-1","SCHNEIDER","NS1600NA","IEC 60947-2","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1332","SY6-BLK1-LVSB-1-1R_ACB-2 PDU BUSBAR ISOLATOR","SY6-GF-05","SY6-GF-HALL-1","SCHNEIDER","NS1600N","IEC 60947-2","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1336","SY6-BLK1-LVSB-1-2A_ACB-1 MAIN ISOLATOR","SY6-L1-03","SY6-L1-HALL-2","SCHNEIDER","NS1600NA","IEC 60947-2","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1337","SY6-BLK1-LVSB-1-2A_ACB-2 PDU BUSBAR ISOLATOR","SY6-L1-03","SY6-L1-HALL-2","SCHNEIDER","NS1600N","IEC 60947-2","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1341","SY6-BLK1-LVSB-1-2R_ACB-1 MAIN ISOLATOR","SY6-L1-03","SY6-L1-HALL-2","SCHNEIDER","NS1600NA","IEC 60947-2","","","","","","","","","","","","","","","","","","","","",""
"SY6 Breakers — Asset Capture","SY6","BREAKER","1342","SY6-BLK1-LVSB-1-2R_ACB-2 PDU BUSBAR ISOLATOR","SY6-L1-03","SY6-L1-HALL-2","SCHNEIDER","NS1600N","IEC 60947-2","","","","","","","","","","","","","","","","","","","","",""
